title,year,country,genres,time,new_genres
Big fish,2017,한국,애니메이션/단편,9분,드라마
새해전야,2019,한국,로맨스/드라마,1시간 54분,멜로/로맨스
Monster Hunter,2020,"독일,미국,일본,남아프리카 공화국",액션/모험/판타지,1시간 43분," <a href=""http://www.capcom.com/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_xab*b.company&amp;r=1&amp;i=8016a8be_0000009E9848&amp;u=' + urlencode(this.href));"">캡콤</a> </dd>, "
(OO),2017,한국,애니메이션/단편,6분,애니메이션
Don't Hug Me I'm Scared,2011,영국,애니메이션,3분,애니메이션
Padrenostro,2020,이탈리아,드라마,2시간 2분,드라마
Le sorelle Macaluso,2020,이탈리아,드라마,1시간 34분,드라마
Detachment,2011,미국,드라마,1시간 38분,드라마
Curfew,2012,미국,단편/드라마,19분,드라마
The Farewell,2019,미국,가족/드라마,1시간 40분,정보없음
劇場版「鬼滅の刃」無限列車編,2020,일본,애니메이션/액션/모험/판타지,1시간 57분,애니메이션
Sleepless,2017,미국,액션/범죄/스릴러,1시간 35분,정보없음
Wolf Daddy,2005,한국,판타지/애니메이션/가족,10분,정보없음
Jongens,2014,네덜란드,로맨스/드라마,1시간 17분,드라마
그녀,2012,한국,코미디/단편,17분,드라마
별이 빛나는 밤에,2017,한국,애니메이션/드라마/단편,10분," <a href=""http://www.imbc.com/broad/radio/"" nocr="""" onclick=""return goOtherCR(this, 'a=nco_x09*K.sumchannel&amp;r=1&amp;i=00000012_000000D5E70E&amp;u=' + urlencode(this.href));"">MBC 표준FM</a> "
Omelette,2013,프랑스,애니메이션,2분,정보없음
Booksmart,2019,미국,코미디,1시간 42분,코미디
세자매,2020,한국,드라마,1시간 55분,드라마
오목어,2012,한국,애니메이션/단편,10분,애니메이션
Burrow,2020,미국,애니메이션/단편,6분,애니메이션
Fahim,2019,프랑스,코미디/가족/드라마,1시간 47분,드라마
내 아내가 살이 쪘다,2020,한국,단편,12분,정보없음
